Rank,Name,Symbol,Market_Cap,Price,circulating_supply,name,Volume_24h,Precent_1h,Precent_24h,Precent_7d,precent_1h,precent_24h,precent_7d,100,Size
153,IRISnet,IRIS,43268437,0.05,"866,412,209",IRIS,2520262,0.0178,-0.0198,-0.0093,1.78,-1.98,-0.93,100,small
154,Theta Fuel,TFUEL,42373564,0.01,"4,962,631,792",TFUEL,665220,0.0045,-0.0128,-0.0694,0.45,-1.28,-6.94,100,small
155,Electroneum,ETN,42157777,0,"10,209,123,534",ETN,1431831,0,0.0159,-0.0636,0,1.59,-6.36,100,small
156,Loki,LOKI,41879503,0.81,"51,764,164",LOKI,224157,0.0051,0.082,0.8298,0.51,8.2,82.98,100,small
157,Hyperion,HYN,42423871,0.13,"316,765,917",HYN,81382,-0.0046,-0.0033,0.1169,-0.46,-0.33,11.69,100,small
158,SingularityNET,AGI,39508425,0.05,"850,430,268",AGI,364375,0.0059,-0.0933,0.0057,0.59,-9.33,0.57,100,small
159,OriginTrail,TRAC,40115371,0.12,"334,823,964",TRAC,2816989,0.0096,-0.0863,-0.3898,0.96,-8.63,-38.98,100,small
160,Kin,KIN,39620813,0,,KIN,87481,0.0043,-0.0052,0.156,0.43,-0.52,15.6,100,small
161,Pundi X,NPXS,39917359,0,"234,544,488,396",NPXS,1305006,0.0057,-0.0048,0.0339,0.57,-0.48,3.39,100,small
162,Switcheo,SWTH,39133274,0.04,"1,063,001,033",SWTH,124394,-0.0433,0.0204,0.3576,-4.33,2.04,35.76,100,small
163,Fantom,FTM,37670415,0.02,"2,133,081,462",FTM,6806156,0.0059,-0.0165,-0.0832,0.59,-1.65,-8.32,100,small
164,STASIS EURO,EURS,37463463,1.17,"31,979,207",EURS,2436740,0.001,0.0015,-0.0074,0.1,0.15,-0.74,100,small
165,Ultra,UOS,37068018,0.13,"282,480,130",UOS,555515,0.0156,0.0912,0.3324,1.56,9.12,33.24,100,small
166,Tellor,TRB,37504381,24.12,"1,554,643",TRB,55356339,0.0204,0.0327,0.0201,2.04,3.27,2.01,100,small
167,Zcoin,XZC,36998958,3.3,"11,215,381",XZC,5077110,0.0009,0.0236,0.0101,0.09,2.36,1.01,100,small
168,Power Ledger,POWR,36698141,0.09,"423,992,467",POWR,988525,0.0118,-0.0361,0.0228,1.18,-3.61,2.28,100,small
169,Hxro,HXRO,36544883,0.2,"179,150,221",HXRO,322916,0.0326,-0.0112,-0.0647,3.26,-1.12,-6.47,100,small
170,DIA,DIA,35545439,1.26,"28,271,916",DIA,20037153,-0.0156,0.0985,0.1277,-1.56,9.85,12.77,100,small
171,HyperCash,HC,35860127,0.8,"44,882,306",HC,7134658,-0.0028,-0.0086,-0.0992,-0.28,-0.86,-9.92,100,small
172,district0x,DNT,35571317,0.06,"600,000,000",DNT,10190426,0.0129,-0.0175,-0.1298,1.29,-1.75,-12.98,100,small
173,Kleros,PNK,34840020,0.06,"570,235,435",PNK,3707410,0.1101,-0.2462,0.3063,11.01,-24.62,30.63,100,small
174,WaykiChain,WICC,34532442,0.18,"189,000,000",WICC,5439246,0.013,0.0115,0.0648,1.3,1.15,6.48,100,small
175,Digitex Futures,DGTX,33746304,0.04,"931,035,715",DGTX,2487942,0.0008,-0.0712,0.1043,0.08,-7.12,10.43,100,small
176,SOLVE,SOLVE,33865739,0.09,"375,651,077",SOLVE,57524,-0.011,-0.0124,-0.0172,-1.1,-1.24,-1.72,100,small
177,v.systems,VSYS,33236676,0.02,"2,136,367,867",VSYS,2619844,-0.0475,0.0975,0.0416,-4.75,9.75,4.16,100,small
178,GateToken,GT,31791591,0.42,"75,763,049",GT,11041577,-0.0001,-0.0052,-0.0004,-0.01,-0.52,-0.04,100,small
179,Voyager Token,VGX,31497911,0.14,"222,295,208",VGX,3708,-0.0065,-0.0011,-0.0623,-0.65,-0.11,-6.23,100,small
180,Fetch.ai,FET,31648780,0.04,"746,113,681",FET,4041531,0.0122,-0.0464,0.0104,1.22,-4.64,1.04,100,small
181,Nexalt,XLT,31344224,1.61,"19,482,397",XLT,413747,0.0001,-0.0026,-0.0076,0.01,-0.26,-0.76,100,small
182,Aion,AION,31527112,0.07,"477,861,253",AION,1609457,0.0036,-0.051,-0.0042,0.36,-5.1,-0.42,100,small
183,Super Zero Protocol,SERO,31340669,0.11,"296,910,588",SERO,3316537,-0.0117,0.0188,-0.0529,-1.17,1.88,-5.29,100,small
184,Aeternity,AE,31276635,0.1,"325,057,963",AE,7708147,0.001,-0.0303,-0.0355,0.1,-3.03,-3.55,100,small
185,Polymath,POLY,31436125,0.06,"535,000,099",POLY,8880922,0.0159,0.0086,0.1462,1.59,0.86,14.62,100,small
186,Travala.com,AVA,30570419,0.74,"41,549,562",AVA,1542871,-0.005,-0.0014,-0.0103,-0.5,-0.14,-1.03,100,small
187,Syscoin,SYS,29781550,0.05,"600,099,231",SYS,1347095,0.0035,-0.0434,0.2401,0.35,-4.34,24.01,100,small
188,Harmony,ONE,29721653,0,"6,255,461,110",ONE,3591115,0.0073,-0.0259,-0.0564,0.73,-2.59,-5.64,100,small
189,Streamr,DATA,29647723,0.04,"692,829,898",DATA,2153090,0.0063,0.0231,0.0127,0.63,2.31,1.27,100,small
190,Flexacoin,FXC,28972499,0,"7,273,713,838",FXC,281799,-0.0003,-0.0574,-0.1413,-0.03,-5.74,-14.13,100,small
191,Orbs,ORBS,28743051,0.01,"2,229,950,518",ORBS,152912,-0.015,-0.0124,-0.0135,-1.5,-1.24,-1.35,100,small
192,Handshake,HNS,28463190,0.09,"321,729,615",HNS,500720,0.0101,0.0017,0.0533,1.01,0.17,5.33,100,small
